Date,Positive,Negative,Neutral,sentimental_score
2006-01-31,9.027285159390885e-06,0.0004722164012491703,0.9995187520980835,0.49929618693295197
2006-02-28,0.00031660027275393077,0.5155557915568352,0.48412756838661153,-0.2731754070907755
2006-03-31,0.00011525449021121403,0.5082402892008986,0.4916444776980029,-0.2623027958616859
2006-04-30,0.0007239158691542494,0.6129159662199931,0.386360127841019,-0.4190119864303294
2006-05-31,0.0013530289002654833,0.5282664644610813,0.4703804932235341,-0.2917231889490487
2006-06-30,0.0016281982400556672,0.5607906452971747,0.43758116528437085,-0.3403718644149336
2006-07-31,0.0003342235335897688,0.648379884046733,0.35128587577492,-0.4724027226256832
2006-08-31,0.0002558868028756933,0.6332631856203079,0.36648096000271835,-0.44976681881607306
2006-09-30,0.00040556596663539796,0.6090291167298952,0.3905652885202168,-0.4133409065031515
2006-10-31,0.0013794869373668917,0.5700207889080048,0.42859970638528466,-0.35434144877799556
2006-11-30,0.0026934523015995637,0.64694597957714,0.350360585881333,-0.4690722343348739
2006-12-31,0.003857530799109554,0.49622239375457866,0.4999200986358119,-0.24240481363756317
2007-01-31,0.18657746715139184,0.6322996951639652,0.18112282185611547,-0.35516081708451563
2007-02-28,0.00037957948613135767,0.17735866705576578,0.8222617506980896,0.23415178777941037
2007-03-31,7.113479830422875e-05,0.8138621451798826,0.18606672540897762,-0.7207576476770896
2007-04-30,0.24728001493554075,0.5916340768337249,0.16108585762558505,-0.2638111330853917
2007-05-31,0.03302599079389523,0.661818670341745,0.30515531301182364,-0.47621502304193797
2007-06-30,0.23454749232914765,0.6307162903249264,0.13473621702287347,-0.328800689484342
2007-07-31,4.798192384214417e-05,0.4934922908955741,0.5064596668817103,-0.24021447553087683
2007-08-31,0.32256355595563946,0.5674186497926712,0.11001778393983841,-0.18984620186711254
2007-09-30,0.05514033211095791,0.7633024070944104,0.1815572433154427,-0.6173834533257312
2007-10-31,0.16659131679770667,0.7333477296820092,0.10006097767222855,-0.5167259240481883
2007-11-30,0.10344973356177434,0.5293575413913155,0.3671927462839651,-0.24231143468755867
2007-12-31,,,,
2008-01-31,0.22604320022648494,0.7277749013155699,0.04618190544755407,-0.4786407483653079
2008-02-29,0.3351474831312468,0.5005854651196083,0.16426706274069147,-0.08330445061801584
2008-03-31,0.06677745548677194,0.7066644910955802,0.2265580358510609,-0.5266080176832778
2008-04-30,0.1256232013773797,0.7007103879941496,0.1736664152431331,-0.4882539789952034
2008-05-31,0.23098181209343238,0.5164989596451051,0.25251921042622094,-0.1592575423385622
2008-06-30,0.04750148129500076,0.6726691237336127,0.2798293954210749,-0.48525294472807445
2008-07-31,0.01583073358369802,0.4251519883982837,0.5590172782540321,-0.12981261568756963
2008-08-31,0.7061600089073181,0.2769734561443329,0.016866525635123253,0.43761981558054686
2008-09-30,0.000707292072850881,0.7193791369597117,0.2799135738168843,-0.5787150579784187
2008-10-31,0.5933211418509018,0.15684747793129644,0.2498313760966994,0.561389351967955
2008-11-30,0.24994025196065195,0.5030151070095599,0.24704463413945632,-0.12955253797917976
2008-12-31,0.2576669792179018,0.463891813531518,0.2784412133114529,-0.06700422765788971
2009-01-31,0.7936202883720398,0.1910632699728012,0.015316360630095005,0.6102151987142861
2009-02-28,0.25071351241945194,0.5985974122786502,0.15068907582644897,-0.2725393619459737
2009-03-31,0.14642236754497162,0.7042293213307858,0.14934828984405613,-0.48313280886378607
2009-04-30,0.2511456226675364,0.5895493775606155,0.15930498522538983,-0.25875126228038425
2009-05-31,0.2601167335070045,0.5443812427329249,0.19550201948004542,-0.18651349948589768
2009-06-30,0.20453947258447766,0.6868854866230062,0.10857504044815869,-0.4280584938144492
2009-07-31,0.11622162649291568,0.8495250344276428,0.03425330645404756,-0.7161767547077034
2009-08-31,0.23409546303992101,0.7641699612140656,0.0017345946980640292,-0.5292072008251125
2009-09-30,0.00014362436121473365,0.875819519162178,0.12403681346131634,-0.8136574880703051
2009-10-31,0.12344913949846159,0.397171123738417,0.4793797319243822,-0.03403211827776431
2009-11-30,0.010270618062349968,0.8137395083904266,0.1759898706650347,-0.7154739549955593
2009-12-31,0.02203031423171827,0.6389949868898839,0.3389746515119138,-0.4474773469022087
2010-01-31,0.03593064719461836,0.5919977418282846,0.3720716169724862,-0.3700312861474231
2010-02-28,0.0005819294401590014,0.7556620041529337,0.24375607171289934,-0.6332020388563251
2010-03-31,0.010338140070962254,0.6779171526432037,0.3117447257973254,-0.5117066496735788
2010-04-30,0.29557602281007195,0.4729772317223251,0.23144675550217167,-0.06167783116116728
2010-05-31,0.0011879419418262063,0.588197666153844,0.4106143645861136,-0.3817025419189609
2010-06-30,0.008448516006562082,0.44210085829157225,0.5494506107946412,-0.1589270368876896
2010-07-31,3.077311930610449e-05,0.9889536499977112,0.0110156273276516,-0.9834150632145793
2010-08-31,0.4986020887427003,0.00011539700244611595,0.5012824950972572,0.7491279392888828
2010-09-30,0.00011665285455819685,0.9953241646289825,0.0045592427068186225,-0.992927890421015
2010-10-31,0.08400145644625354,0.5850911363959312,0.3309074254706502,-0.3356359672143526
2010-11-30,0.005325858262949623,0.8918079932530721,0.10286618324850376,-0.8350490433658706
2010-12-31,0.8730435967445374,0.11108827032148838,0.015868092887103558,0.7698893728666008
2011-01-31,8.732469694905376e-06,0.49998737554722084,0.5000039023984755,-0.2499766918782882
2011-02-28,0.1146551578794515,0.4139417904390939,0.47140307805675546,-0.06358509353126465
2011-03-31,0.20908628659617534,0.5383772410452365,0.25253647481549707,-0.20302271704131272
