Date,Positive,Negative,Neutral,sentimental_score
2008-01-31,0.0002851989463335615,0.6658738165528381,0.33384097125373763,-0.49866813197963566
2008-02-29,0.015028559318469803,0.5809485063834549,0.4040229419042518,-0.3639084761128591
2008-03-31,0.013854636143742027,0.6045143356197513,0.3816310129008116,-0.39984419302560353
2008-04-30,0.009060644650197958,0.34836156279554303,0.6425777745390633,-0.018012030875813424
2008-05-31,0.001334421872115854,0.9431396126747131,0.05552595054791709,-0.9140422155286387
2008-06-30,0.1252043019838181,0.2422826433820384,0.6325130294301614,0.1991781733168604
2008-07-31,0.008473522614361961,0.210371416578937,0.7811550692422315,0.18867964065654075
2008-08-31,3.97350868297508e-06,0.9999634027481079,3.2613192161079496e-05,-0.9999431226433444
2008-09-30,0.052048253244893775,0.9127597212791443,0.03519204273345622,-0.8431154466675224
2008-10-31,0.051742604748836935,0.3976624638166363,0.5505949041720063,-0.0706224069817962
2008-11-30,0.047590812210118696,0.5517387879987258,0.40067039384046604,-0.30381277886837404
2008-12-31,0.07708144405796702,0.48393268541743356,0.4389858377253404,-0.18735832249679638
2009-01-31,8.881864050636068e-05,0.6340280979832945,0.36588310667624074,-0.45099772600466775
2009-02-28,,,,
2009-03-31,0.042827460914850235,0.9440223574638367,0.013150165788829327,-0.8946198136545718
2009-04-30,0.16806977680001486,0.655172864596049,0.17675736049811044,-0.3987244075469789
2009-05-31,0.0334177203476429,0.7823724150657654,0.1842099279165268,-0.6568497307598591
2009-06-30,0.00038014464189473074,0.7424737811088562,0.25714608235284686,-0.613520595290538
2009-07-31,0.0001425706286681816,0.9940504431724548,0.005806957371532917,-0.9910043938580202
2009-08-31,,,,
2009-09-30,0.14986908671528454,0.6652457006275654,0.18488520453684032,-0.4229340116438607
2009-10-31,0.06510992997426435,0.40297265941404703,0.531917375868943,-0.07190404150531116
2009-11-30,0.0583639771786693,0.6687170088087442,0.27291900748386977,-0.47389352788813993
2009-12-31,0.0069911990446079085,0.42075891566595863,0.5722498979002921,-0.12764276767120464
2010-01-31,1.5868028640397824e-05,0.9984872341156006,0.00149692187551409,-0.9977229051492031
2010-02-28,0.11384836927695688,0.7572506159543991,0.1289010011445498,-0.5789517461051673
2010-03-31,0.0008127748894992237,0.32940210491651667,0.6697851306758821,0.006303235310923583
2010-04-30,0.0274735741835944,0.4289376862081034,0.5435887351632118,-0.12966974444290308
2010-05-31,0.001129192314692773,0.6618313754079281,0.33703946710253757,-0.4921824495419666
2010-06-30,7.641875058084224e-06,0.43830407694852624,0.5616883084639994,-0.15745228084146845
2010-07-31,9.29992590196586e-05,0.10817494947696105,0.8917320370674133,0.3377840683157653
2010-08-31,0.0019655645795864985,0.521575300092809,0.4764591261744499,-0.28138017242599744
2010-09-30,0.0005200164378720729,0.9454831838607788,0.053996810482829005,-0.9179647621814923
2010-10-31,0.004303963980873959,0.45800880080787465,0.5376872047781944,-0.18486123443790348
2010-11-30,0.001959253568202257,0.9673531651496887,0.03068758174777031,-0.9500501207076013
2010-12-31,0.00195925310254097,0.9673531651496887,0.030687588267028332,-0.9500501179136336
2011-01-31,0.001959253568202257,0.9673531651496887,0.03068758174777031,-0.9500501207076013
2011-02-28,0.001959253257761399,0.9673531651496887,0.03068758671482404,-0.9500501185345153
2011-03-31,0.002630622941069305,0.8469351819949225,0.15043419087305665,-0.7690874636173248
2011-04-30,0.001659073073824402,0.8832306911547979,0.11511023032168548,-0.8240165029201307
2011-05-31,0.14111392265684636,0.7598346381315163,0.09905143714110766,-0.5691949969041161
2011-06-30,0.001661620568484068,0.8065661291281382,0.19177224983771643,-0.709018383640796
2011-07-31,0.0006572891261384939,0.657017391330252,0.342325337499157,-0.4851974334545351
2011-08-31,,,,
2011-09-30,0.0005053593804404954,0.24944167921785265,0.7500529950484633,0.12609017768681952
2011-10-31,0.0009868130387076235,0.48532460106071085,0.5136885698884726,-0.22749350307776695
2011-11-30,0.001959253568202257,0.9673531651496887,0.03068758174777031,-0.9500501207076013
2011-12-31,0.00130696493791523,0.6449121330321456,0.35378091285626095,-0.4667147116660999
2012-01-31,0.001959253568202257,0.9673531651496887,0.03068758174777031,-0.9500501207076013
2012-02-29,0.0008070814844813867,0.7870183731371071,0.21217454738065838,-0.6801240179622965
2012-03-31,0.0023410763242281973,0.9745148867368698,0.023144039907492697,-0.9606017904588953
2012-04-30,0.001223550417023489,0.7695511524245375,0.2292253001483914,-0.6537149519333184
2012-05-31,0.0012529216325715838,0.7173041746705167,0.28144290411100054,-0.5753298009824448
2012-06-30,0.20117411287737924,0.7799488009275592,0.018877097038603095,-0.5693361395308785
2012-07-31,0.0016580746014369652,0.8296876698732376,0.16865425650030375,-0.7437024670216488
2012-08-31,,,,
2012-09-30,8.462776380232147e-05,0.6657379990792833,0.33417734070826555,-0.49856470096134825
2012-10-31,1.0001675593211226e-05,0.33667548388730967,0.6633144939939181,-0.005008235214757424
2012-11-30,0.0009745775126551356,0.9869964122772217,0.012028997987120723,-0.9800073357710062
2012-12-31,6.74569218972465e-05,0.679547131061554,0.3203854411840439,-0.5192869535476348
2013-01-31,8.084213504844229e-06,0.00012191216228529811,0.9998699724674225,0.4998211582849308
2013-02-28,0.00013922176731284708,0.001414223574101925,0.998446524143219,0.4979482602648204
2013-03-31,0.00016383751365841212,0.32999516718943295,0.66984095176061,0.005089146204530455
2013-04-30,0.0071385331706778745,0.7060039946150937,0.28685749471187594,-0.5554367140884778
2013-05-31,0.0005435934616784266,0.6347723138496804,0.3646841052641321,-0.4518866677559359
