Date,Negative,Neutral,sentimental_score
2006-01-31,0.9975866940286424,0.001521113866664968,-0.9959339502068568
2006-02-28,0.9957091559966406,0.0009017622338101106,-0.9918692009027059
2006-03-31,0.9241277538239956,0.07569921973951921,-0.8861051212794688
2006-04-30,0.9509144510541644,0.00019633199169406218,-0.9019270729000811
2006-05-31,0.9113310009241105,0.0885323306828127,-0.8669281741675263
2006-06-30,0.9921878526608149,0.0031698571323393785,-0.9859606335200463
2006-07-31,0.9981004993120829,0.0003107638345360246,-0.9963563546581709
2006-08-31,0.9917966994372281,0.0035481863401026267,-0.9853674730834127
2006-09-30,0.9585297753413519,0.04055431402464108,-0.9373367082695431
2006-10-31,0.9843796938657761,0.004327341510365734,-0.9709230372015503
2006-11-30,0.9137396603822708,0.08611881036846088,-0.8705387477405802
2006-12-31,0.9543661177158356,0.04472243125539155,-0.9310934434218322
2007-01-31,0.9997413158416748,0.00017114489666258947,-0.999568217682095
2007-02-28,0.9946136275927225,0.0010029057211835063,-0.989728706855948
2007-03-31,0.9965110366994684,0.0032657367460392998,-0.9946549574956666
2007-04-30,0.9810662733183967,0.01785483204055538,-0.9710599698901726
2007-05-31,0.9992408901453018,0.0005111888516768914,-0.9987373707882977
2007-06-30,0.9951579123735428,0.004729331245431068,-0.9926804945526454
2007-07-31,0.9880467702945074,0.01009102677002005,-0.9811390624403001
2007-08-31,0.9674353386674609,0.029932651240187624,-0.9498370108242072
2007-09-30,0.9332267232239246,0.0664857722548423,-0.8996963443345984
2007-10-31,0.9683090177449313,0.03146311911070576,-0.9523495823248858
2007-11-30,0.993588830033938,0.005717300082355381,-0.9900363058144507
2007-12-31,0.9840356057340448,0.014070027096300402,-0.9751062271753235
2008-01-31,0.9991002996762594,0.00020155505575113845,-0.9983013800950393
2008-02-29,0.9852824636868068,0.014641470655568867,-0.9778856703267742
2008-03-31,0.9280991855224496,0.06870490206625995,-0.8905508218490056
2008-04-30,0.9871612678874623,0.009674130119174668,-0.9791596301003461
2008-05-31,0.9991042502224445,0.0008718839676316037,-0.9986444333858007
2008-06-30,0.8724395230125922,0.10358787874116257,-0.796672996827152
2008-07-31,0.9496461536203112,0.05022418423077183,-0.9244043845397928
2008-08-31,0.9609100997447968,0.031260684637749135,-0.9374505363985378
2008-09-30,0.9302661689844999,0.04140949542078832,-0.8812370797449828
2008-10-31,0.9107743135866258,0.07974922201810841,-0.8614232473280083
2008-11-30,0.9481896837552388,0.05154924788191882,-0.9221539989082506
2008-12-31,0.9893755003025657,0.0020365579317501072,-0.9797692561709345
2009-01-31,0.9410226472786495,0.05893462915926965,-0.9115125911024619
2009-02-28,0.9723637791780325,0.02759129022399575,-0.9585232043437079
2009-03-31,0.8592371740104521,0.11531600630681116,-0.776132366445739
2009-04-30,0.9668408830960592,0.002837831619321681,-0.9351006834045715
2009-05-31,0.9998042384783427,4.615463670908248e-05,-0.9996315205294102
2009-06-30,0.9797029600423925,0.020114919270460687,-0.9694633812312728
2009-07-31,0.994780633598566,0.0033371625335192334,-0.9912298509482884
2009-08-31,0.9194185482748949,0.08028520367770063,-0.8789797041713695
2009-09-30,0.9811341524124145,0.01819374308826506,-0.9713651506185944
2009-10-31,0.9605342469045094,0.039404501073365496,-0.940770721697706
2009-11-30,0.9758342399316675,0.023160298818843766,-0.963248618499681
2009-12-31,0.9240168972926981,0.02956914075938959,-0.8628183577432383
2010-01-31,0.9297087188544018,0.07006955536856399,-0.8944521890275509
2010-02-28,0.9989838520685832,0.0008295456383848431,-0.998382472725935
2010-03-31,0.9001833166758944,0.09977654618550484,-0.8502549074316303
2010-04-30,0.9430916327247886,0.056825690544261113,-0.9145961173094951
2010-05-31,0.9536537859174941,9.247606053324691e-05,-0.9073538062330739
2010-06-30,0.9568958909888017,0.03995792682817978,-0.9337707367658944
2010-07-31,0.9402518606319277,0.05953058138958808,-0.9102690016771111
2010-08-31,0.9968436136841774,0.002105455543162549,-0.9947399745168735
2010-09-30,0.8548025651964508,0.14090686854863937,-0.7800585643611214
2010-10-31,0.9978683044513067,0.0011344368937571403,-0.9963038232489522
2010-11-30,0.980726787022182,0.003806639617864554,-0.9633568881203783
2010-12-31,0.9862826221129474,0.007246045589009581,-0.976188272442847
2011-01-31,0.9668452739715576,0.008430669408555858,-0.9379059068448886
2011-02-28,0.9983343005180358,0.00021439647140368833,-0.9967758009577381
2011-03-31,0.9615416248639425,0.03745240188271879,-0.9418094482424609
2011-04-30,0.9852420517376491,0.007855552724744743,-0.9744118810942715
2011-05-31,0.9949250668287277,0.0005611719047511343,-0.9901307145140894
2011-06-30,0.9939489610054913,0.0018550126319646953,-0.9888254524028914
2011-07-31,0.9962905744711558,0.002041847379587125,-0.9936020871862942
2011-08-31,0.9514033968249956,0.04216373074197103,-0.9238886619765244
2011-09-30,0.988758671283722,0.0056413840105619785,-0.9803380316911244
2011-10-31,0.9980157486030033,0.000263263280442873,-0.9961631472961463
2011-11-30,0.9787522809846061,0.01504067694514788,-0.9650248948131639
2011-12-31,0.8989711555962762,0.015327622480119393,-0.8056061381398033
2012-01-31,0.9879552006721497,0.00804981450755804,-0.9799353188255224
2012-02-29,0.8797643019093407,0.001451390514931619,-0.7602542969799136
2012-03-31,0.9096989860901465,0.08764300903518372,-0.8632194799945585
2012-04-30,0.9588375687599182,0.022892509054107297,-0.9291213984418031
2012-05-31,0.9952603365693774,0.0008550476901539079,-0.9909482128361853
2012-06-30,0.9317617462231562,0.04659725877343572,-0.8868221361531229
2012-07-31,0.9967615008354187,0.001154364406617829,-0.9941001954439705
