Date,Positive,Negative,Neutral,sentimental_score
2023-10-25,0.28573185205459595,0.28600388765335083,0.4282642900943756,0.21386010944843292
2023-10-24,1.9294546291348524e-05,0.5808570981025696,0.4191235601902008,-0.37127602346117783
2023-10-23,0.004061984829604626,0.831588864326477,0.16434910893440247,-0.7453523250296712
2023-10-20,0.09101758152246475,0.725542426109314,0.18343998491764069,-0.5428048521280289
2023-10-19,0.15798263251781464,0.6844413876533508,0.15757599472999573,-0.44767075777053833
2023-10-18,0.0004377891309559345,0.8163915872573853,0.1831706166267395,-0.7243684898130596
2023-10-17,0.19012592732906342,0.8029011487960815,0.006972973700612783,-0.6092887346167117
2023-10-16,0.030371500179171562,0.9568167924880981,0.01281171664595604,-0.9200394339859486
2023-10-13,0.0014479614328593016,0.8982319831848145,0.10032013803720474,-0.8466239527333528
2023-10-12,0.021772325038909912,0.8661179542541504,0.11210973560810089,-0.78829076141119
2023-10-11,0.0013199496315792203,0.808270275592804,0.19040977954864502,-0.7117454361869022
2023-10-10,0.0101728904992342,0.8420072793960571,0.1478198617696762,-0.7579244580119848
2023-10-09,0.14591296017169952,0.85345458984375,0.000632500508800149,-0.7072253794176504
2023-10-06,0.11905276775360107,0.6849688291549683,0.19597844779491425,-0.46792683750391006
2023-10-05,0.0408017560839653,0.7887354493141174,0.17046278715133667,-0.6627022996544838
2023-10-04,0.010277921333909035,0.6539684534072876,0.33575358986854553,-0.4758137371391058
2023-10-03,0.03541773930191994,0.6497847437858582,0.3147975504398346,-0.4569682292640209
2023-10-02,0.010946721769869328,0.7876708507537842,0.20138245820999146,-0.6760328998789191
2023-09-29,0.10379400849342346,0.776025116443634,0.12018093466758728,-0.6121406406164169
2023-09-28,0.17137785255908966,0.4810132086277008,0.3476089835166931,-0.1358308643102646
2023-09-27,0.09979643672704697,0.6533752679824829,0.24682828783988953,-0.4301646873354912
2023-09-26,0.0669095367193222,0.8318531513214111,0.10123731940984726,-0.7143249548971653
2023-09-25,0.00015907050692476332,0.8176605701446533,0.18218034505844116,-0.726411327108508
2023-09-22,0.028092462569475174,0.8626432418823242,0.10926433652639389,-0.7799186110496521
2023-09-21,0.001332587213255465,0.7756825089454651,0.2229848951101303,-0.6628574741771445
2023-09-20,0.17719624936580658,0.6327095031738281,0.19009427726268768,-0.3604661151766777
2023-09-19,0.0017649810761213303,0.8042544722557068,0.19398057460784912,-0.7054992038756609
2023-09-18,0.0044324155896902084,0.8938609957695007,0.10170652717351913,-0.838575316593051
2023-09-15,0.00022554707538802177,0.6667200922966003,0.3330543339252472,-0.4999673782585887
2023-09-14,0.21228386461734772,0.6942650079727173,0.09345109015703201,-0.43525559827685356
2023-09-13,0.05274180322885513,0.5780306458473206,0.36922749876976013,-0.34067509323358536
